Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
PG,Procter & Gamble Company (The) Common Stock,United States,NULL,Consumer Discretionary,Package Goods/Cosmetics,348449880218,2022-06-09
PGR,Progressive Corporation (The) Common Stock,United States,NULL,Finance,Property-Casualty Insurers,69026973500,2022-06-09
PH,Parker-Hannifin Corporation Common Stock,United States,NULL,Industrials,Office Equipment/Supplies/Services,36207324856,2022-06-09
PINS,Pinterest Inc. Class A Common Stock,NULL,2019,Technology,Interactive Media,13588171756,2022-06-09
PLD,Prologis Inc. Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,92392724270,2022-06-09
PLTR,Palantir Technologies Inc. Class A Common Stock,NULL,2020,Technology,Retail: Computer Software & Peripheral Equipment,18091895009,2022-06-09
PLUG,Plug Power Inc. Common Stock,United States,1999,Consumer Discretionary,Electrical Products,10018500104,2022-06-09
PM,Philip Morris International Inc Common Stock,United States,NULL,Consumer Discretionary,Farming/Seeds/Milling,159692364754,2022-06-09
PNC,PNC Financial Services Group Inc. (The) Common Stock,United States,NULL,Finance,Major Banks,69423666206,2022-06-09
POOL,Pool Corporation Common Stock,United States,1995,Consumer Discretionary,Recreational Games/Products/Toys,16825677131,2022-06-09
PPG,PPG Industries Inc. Common Stock,United States,NULL,Consumer Discretionary,Paints/Coatings,29968338747,2022-06-09
PPL,PPL Corporation Common Stock,United States,NULL,Utilities,Electric Utilities: Central,21808485701,2022-06-09
PRU,Prudential Financial Inc. Common Stock,United States,2001,Finance,Life Insurance,39142500000,2022-06-09
PSX,Phillips 66 Common Stock,United States,NULL,Energy,Integrated oil Companies,52658803346,2022-06-09
PTON,Peloton Interactive Inc. Class A Common Stock,United States,2019,Consumer Discretionary,Other Consumer Services,3785143094,2022-06-09
PXD,Pioneer Natural Resources Company Common Stock,United States,NULL,Energy,Oil & Gas Production,68079999609,2022-06-09
PYPL,PayPal Holdings Inc. Common Stock,United States,NULL,Consumer Discretionary,Business Services,99718818286,2022-06-09
QCOM,QUALCOMM Incorporated Common Stock,United States,1991,Technology,Computer peripheral equipment,155702400000,2022-06-09
RACE,Ferrari N.V. Common Shares,NULL,2015,Consumer Discretionary,Auto Manufacturing,35436127204,2022-06-09
RBLX,Roblox Corporation Class A Common Stock,NULL,2021,Technology,EDP Services,18371202416,2022-06-09
